iter	Passed	Remaining
0	135	135770
1	136	68038
2	136	45457
3	137	34179
4	137	27434
5	138	22906
6	138	19665
7	138	17234
8	139	15344
9	139	13830
10	140	12593
11	140	11562
12	140	10688
13	141	9940
14	141	9291
15	141	8722
16	142	8225
17	142	7792
18	143	7394
19	143	7034
20	143	6712
21	144	6420
22	144	6151
23	145	5903
24	145	5674
25	145	5463
26	146	5266
27	146	5084
28	146	4915
29	147	4757
30	147	4610
31	147	4471
32	148	4342
33	148	4219
34	148	4104
35	149	3995
36	149	3892
37	149	3794
38	150	3701
39	150	3612
40	150	3528
41	151	3451
42	151	3379
43	152	3307
44	152	3238
45	152	3172
46	153	3108
47	153	3050
48	154	2992
49	154	2936
50	154	2882
51	155	2830
52	155	2780
53	155	2731
54	156	2685
55	156	2641
56	157	2599
57	157	2557
58	157	2516
59	158	2477
60	158	2439
61	158	2402
62	159	2367
63	159	2332
64	159	2298
65	160	2269
66	160	2239
67	161	2209
68	161	2180
69	161	2151
70	162	2123
71	162	2097
72	163	2072
73	163	2046
74	163	2021
75	164	1997
76	164	1973
77	164	1949
78	165	1927
79	165	1904
80	165	1883
81	166	1861
82	166	1839
83	166	1819
84	167	1799
85	167	1779
86	167	1760
87	168	1742
88	168	1724
89	168	1706
90	169	1691
91	169	1674
92	170	1658
93	170	1643
94	170	1628
95	171	1613
96	171	1598
97	172	1583
98	172	1568
99	172	1554
100	173	1540
101	173	1526
102	173	1513
103	174	1499
104	174	1486
105	174	1473
106	175	1461
107	175	1448
108	175	1436
109	176	1424
110	176	1413
111	176	1401
112	177	1390
113	177	1379
114	177	1368
115	178	1358
116	178	1347
117	179	1338
118	179	1328
119	179	1318
120	180	1308
121	180	1298
122	180	1289
123	181	1280
124	181	1271
125	181	1262
126	182	1252
127	182	1244
128	182	1235
129	183	1226
130	183	1218
131	184	1210
132	184	1201
133	184	1193
134	185	1185
135	185	1177
136	185	1169
137	186	1161
138	186	1154
139	186	1146
140	187	1140
141	187	1132
142	187	1125
143	188	1118
144	188	1112
145	188	1105
146	189	1098
147	189	1091
148	189	1084
149	190	1078
150	190	1071
151	190	1065
152	191	1058
153	191	1052
154	191	1046
155	192	1040
156	192	1034
157	192	1028
158	193	1022
159	193	1016
160	193	1010
161	194	1004
162	194	998
163	194	993
164	195	987
165	195	982
166	195	976
167	196	971
168	196	967
169	197	962
170	197	957
171	197	952
172	198	947
173	198	942
174	198	937
175	199	932
176	199	927
177	199	923
178	200	918
179	200	913
180	200	909
181	201	904
182	201	899
183	201	895
184	202	890
185	202	886
186	202	881
187	203	877
188	203	873
189	203	869
190	204	864
191	204	860
192	204	857
193	205	853
194	205	849
195	206	845
196	206	842
197	207	838
198	207	835
199	207	831
200	208	827
201	208	823
202	209	820
203	209	817
204	209	813
205	210	810
206	210	806
207	210	803
208	211	799
209	211	795
210	211	792
211	212	788
212	212	785
213	212	781
214	213	778
215	213	775
216	214	772
217	214	769
218	214	765
219	215	762
220	215	759
221	216	757
222	216	753
223	216	750
224	217	747
225	217	744
226	217	741
227	218	738
228	218	735
229	218	732
230	219	729
231	219	726
232	219	723
233	220	720
234	220	718
235	220	715
236	221	712
237	221	709
238	221	706
239	222	703
240	222	701
241	223	698
242	223	696
243	223	693
244	224	691
245	224	688
246	225	686
247	225	683
248	225	681
249	226	678
250	226	676
251	226	673
252	227	670
253	227	668
254	227	665
255	228	663
256	228	660
257	228	658
258	229	656
259	229	653
260	230	651
261	230	649
262	230	646
263	231	644
264	231	641
265	231	639
266	232	637
267	232	635
268	232	632
269	233	630
270	233	628
271	233	626
272	234	624
273	234	621
274	235	619
275	235	617
276	235	615
277	236	613
278	236	610
279	236	608
280	237	606
281	237	604
282	237	602
283	238	600
284	238	598
285	238	596
286	239	593
287	239	591
288	239	589
289	240	587
290	240	585
291	240	583
292	241	581
293	241	579
294	241	578
